ID	Sex	weak	trait
1458	2	1	5.4
1458	2	2	9.2
1458	2	3	11.7
1458	2	4	14.7
1458	2	5	17.6
1458	2	6	19.1
1458	2	7	19.9
1458	2	8	20.3
1458	2	9	21.2
1458	2	10	23.1
1458	2	11	22.5
1458	2	12	24
1458	2	13	24.9
1458	2	14	25.6
1458	2	15	27.3
1458	2	16	28.1
1465	2	1	5
1465	2	2	8.8
1465	2	3	11.1
1465	2	4	13.4
1465	2	5	15.3
1465	2	6	15.7
1465	2	7	15.7
1465	2	8	15.6
1465	2	9	16.5
1465	2	10	16.5
1465	2	11	17.1
1465	2	12	16.2
1465	2	13	16.5
1465	2	14	16.5
1465	2	15	17.9
1465	2	16	18.1
1472	2	1	4.9
1472	2	2	8.6
1472	2	3	11.1
1472	2	4	13
1472	2	5	15.4
1472	2	6	16.6
1472	2	7	17.5
1472	2	8	17.5
1472	2	9	18.1
1472	2	10	18.1
1472	2	11	17.7
1472	2	12	18.2
1472	2	13	17.7
1472	2	14	18.7
1472	2	15	18.9
1472	2	16	19.3
1480	1	1	4.2
1480	1	2	7.5
1480	1	3	9.5
1480	1	4	11.1
1480	1	5	12.9
1480	1	6	14
1480	1	7	14.5
1480	1	8	14.1
1480	1	9	14.8
1480	1	10	15.5
1480	1	11	15.2
1480	1	12	14.9
1480	1	13	15.1
1480	1	14	15.9
1480	1	15	15.6
1480	1	16	16.5
1488	2	1	5.5
1488	2	2	9.2
1488	2	3	11.7
1488	2	4	14
1488	2	5	17.1
1488	2	6	17.4
1488	2	7	17.6
1488	2	8	17.7
1488	2	9	18.4
1488	2	10	19.5
1488	2	11	19.7
1488	2	12	20.5
1488	2	13	20.7
1488	2	14	21.8
1488	2	15	22.2
1488	2	16	22.7
1496	1	1	5.4
1496	1	2	10.5
1496	1	3	13.3
1496	1	4	14.7
1496	1	5	16.7
1496	1	6	17.9
1496	1	7	18.3
1496	1	8	18.2
1496	1	9	19.3
1496	1	10	19.6
1496	1	11	19.4
1496	1	12	19.8
1496	1	13	20.1
1496	1	14	21.1
1496	1	15	21.5
1496	1	16	21.4
1504	1	1	5.3
1504	1	2	9
1504	1	3	11
1504	1	4	11.9
1504	1	5	13.1
1504	1	6	14.3
1504	1	7	14.2
1504	1	8	15
1504	1	9	15.8
1504	1	10	15.8
1504	1	11	16.2
1504	1	12	16.4
1504	1	13	16.9
1504	1	14	17.1
1504	1	15	17.4
1504	1	16	17.5
1416	1	1	4.3
1416	1	2	7.6
1416	1	3	10.1
1416	1	4	11.6
1416	1	5	13.7
1416	1	6	15
1416	1	7	16
1416	1	8	17
1416	1	9	16
1416	1	10	16.9
1416	1	11	17.4
1416	1	12	17.7
1416	1	13	17.8
1416	1	14	18.3
1416	1	15	19.1
1416	1	16	20
1427	1	1	7.6
1427	1	2	9.3
1427	1	3	11.3
1427	1	4	12.9
1427	1	5	13.6
1427	1	6	14.6
1427	1	7	15.5
1427	1	8	16.7
1427	1	9	16.4
1427	1	10	17.2
1427	1	11	17
1427	1	12	17.2
1427	1	13	18.3
1427	1	14	18.2
1427	1	15	18.2
1427	1	16	18.5
1435	1	1	9
1435	1	2	10.8
1435	1	3	14.1
1435	1	4	15.9
1435	1	5	17.6
1435	1	6	18
1435	1	7	20.4
1435	1	8	21.8
1435	1	9	20.7
1435	1	10	22.8
1435	1	11	20
1435	1	12	21.2
1435	1	13	23
1435	1	14	22.1
1435	1	15	22.7
1435	1	16	24.9
1443	1	1	4.9
1443	1	2	8.4
1443	1	3	10.2
1443	1	4	11.3
1443	1	5	12.4
1443	1	6	14
1443	1	7	14.9
1443	1	8	15.6
1443	1	9	15.7
1443	1	10	15.9
1443	1	11	15.8
1443	1	12	15.7
1443	1	13	16.6
1443	1	14	16.5
1443	1	15	17.7
1443	1	16	17.87
1451	2	1	4.6
1451	2	2	9
1451	2	3	12
1451	2	4	14.1
1451	2	5	16.6
1451	2	6	17.6
1451	2	7	18.9
1451	2	8	19.5
1451	2	9	20
1451	2	10	21.4
1451	2	11	20.8
1451	2	12	21.1
1451	2	13	22.9
1451	2	14	22
1451	2	15	22.3
1451	2	16	24.2
1459	2	1	4.7
1459	2	2	8.1
1459	2	3	10.8
1459	2	4	13.7
1459	2	5	16.6
1459	2	6	18
1459	2	7	18.9
1459	2	8	19.5
1459	2	9	20
1459	2	10	21.3
1459	2	11	21.2
1459	2	12	21.7
1459	2	13	22.9
1459	2	14	23.1
1459	2	15	25
1459	2	16	25.4
1466	1	1	5
1466	1	2	8.6
1466	1	3	10.5
1466	1	4	12.9
1466	1	5	14.3
1466	1	6	13.7
1466	1	7	14.4
1466	1	8	15.4
1466	1	9	15.3
1466	1	10	16.4
1466	1	11	15.1
1466	1	12	15.5
1466	1	13	16
1466	1	14	17.3
1466	1	15	18
1466	1	16	18.9
1473	2	1	3.9
1473	2	2	7.7
1473	2	3	9.6
1473	2	4	12.3
1473	2	5	15.6
1473	2	6	16
1473	2	7	17.9
1473	2	8	18.5
1473	2	9	18.8
1473	2	10	18.6
1473	2	11	18.7
1473	2	12	19.9
1473	2	13	19.5
1473	2	14	20.3
1473	2	15	20.4
1473	2	16	21.2
1481	2	1	3.8
1481	2	2	7
1481	2	3	9.5
1481	2	4	14.2
1481	2	5	16.1
1481	2	6	16.7
1481	2	7	17.4
1481	2	8	17.6
1481	2	9	18.3
1481	2	10	18.9
1481	2	11	19.6
1481	2	12	20.5
1481	2	13	19.7
1481	2	14	21.1
1481	2	15	21.5
1481	2	16	21.5
1489	1	1	5.9
1489	1	2	9.4
1489	1	3	11.6
1489	1	4	14.4
1489	1	5	14.4
1489	1	6	15.1
1489	1	7	15.6
1489	1	8	16.1
1489	1	9	17.4
1489	1	10	17.4
1489	1	11	16.5
1489	1	12	17.2
1489	1	13	16.9
1489	1	14	18.4
1489	1	15	18.8
1489	1	16	18.3
1497	1	1	5.3
1497	1	2	10.3
1497	1	3	12.5
1497	1	4	14.4
1497	1	5	15.9
1497	1	6	17.3
1497	1	7	17.7
1497	1	8	17
1497	1	9	18.5
1497	1	10	18.9
1497	1	11	19.5
1497	1	12	20.4
1497	1	13	19.7
1497	1	14	20.6
1497	1	15	21.3
1497	1	16	22
1505	2	1	5.5
1505	2	2	9.6
1505	2	3	13.6
1505	2	4	14.8
1505	2	5	20.9
1505	2	6	21.1
1505	2	7	22.6
1505	2	8	22.2
1505	2	9	24
1505	2	10	24.5
1505	2	11	25.2
1505	2	12	25.6
1505	2	13	25.4
1505	2	14	26.2
1505	2	15	27.5
1505	2	16	27.3
1417	2	1	4.5
1417	2	2	8
1417	2	3	10.5
1417	2	4	13.4
1417	2	5	15.7
1417	2	6	15.7
1417	2	7	16.9
1417	2	8	18.3
1417	2	9	17.3
1417	2	10	18
1417	2	11	18.4
1417	2	12	18.4
1417	2	13	19.2
1417	2	14	19.3
1417	2	15	19.9
1417	2	16	20
1428	1	1	7.5
1428	1	2	9.6
1428	1	3	12
1428	1	4	13.6
1428	1	5	14.7
1428	1	6	15.1
1428	1	7	16.2
1428	1	8	17
1428	1	9	17.4
1428	1	10	16.8
1428	1	11	17.3
1428	1	12	17.7
1428	1	13	19.1
1428	1	14	19.1
1428	1	15	19.1
1428	1	16	20.2
1436	1	1	5.5
1436	1	2	9.5
1436	1	3	11.7
1436	1	4	12.6
1436	1	5	14.1
1436	1	6	13.9
1436	1	7	14.7
1436	1	8	14.4
1436	1	9	14.7
1436	1	10	15.5
1436	1	11	15.7
1436	1	12	16.8
